DOCUMENT -> https://www.theguardian.com/uk/sport
profil : 0.00128700
king : 0.00064350
palac : 0.00128700
daili : 0.00128700
footbal : 0.00064350
edg : 0.00064350
basebal : 0.00128700
rugbi : 0.00064350
topic : 0.00128700
ground : 0.00064350
job : 0.00064350
dont : 0.00128700
wemblei : 0.00128700
scienc : 0.00128700
game : 0.00064350
batshuayi : 0.00128700
recip : 0.00128700
joi : 0.00128700
farewel : 0.00128700
bayern : 0.00128700
drama : 0.00064350
paper : 0.00064350
izagirr : 0.00064350
blunder : 0.00128700
win : 0.00064350
player : 0.00064350
match : 0.00128700
topfour : 0.00128700
follow : 0.00128700
blackpool : 0.00064350
ufc : 0.00064350
third : 0.00128700
mean : 0.00128700
unearth : 0.00064350
novak : 0.00128700
account : 0.00128700
